***** Iteration 0 *****
***** Iteration 1 *****
OI1(F)=S(F)(N2N=S3(Br)=C2O3)=PN1,-6,0.2902386029723374,0.24529267868360638,-5.909307147634513,-11.919945445506853,[-0.00950743],[-11.929453],False,False,True
O=C=C=NOCl,0,0.27011372675481926,0.4720522681391446,-4.691119719865972,-4.701758017738312,[-0.00882067],[-4.7105784],True,True,True
***** Iteration 2 *****
***** Iteration 3 *****
FC12NC#S3(Br)N1N1O[PH](Br)(Br)[PH]1(F)[PH](S)=[IH2]C[IH2](Cl)OC23F,-6,0.09759934040063072,0.15359189796629735,-17.76993208407277,-23.78057038194511,[-0.00998397],[-23.790554],False,False,True
***** Iteration 4 *****
FC12N3S14(Cl)(Cl)[PH]1(S)[SH]567NP31589N6P241P8C179,-6,0.24309874743106746,0.12279858502435342,-5.176204609680452,-11.186842907552792,[-0.01106211],[-11.197905],False,False,True
***** Iteration 5 *****
***** Iteration 6 *****
***** Iteration 7 *****
O=C(Br)OOF,-3,0.32852315731903525,0.6132774604468368,-2.326322879368711,-5.336961177241051,[-0.01448016],[-5.3514414],True,False,False
***** Iteration 8 *****
FC1(P23=NC2=C2N=C2S3)CON1Cl,-3,0.3993915662558184,0.40303186061502877,-3.805500210960339,-6.81613850883268,[-0.01010346],[-6.826242],False,True,True
***** Iteration 9 *****
***** Iteration 10 *****
N[IH2]1C#S2(Cl)N=C(Cl)N3ON3[PH]12F,-6,0.4258854099700138,0.32669817252202094,-4.806456983397496,-10.817095281269836,[-0.01517838],[-10.832274],False,False,True
C=C(Br)C=NC,0,0.5004422641993622,0.6013554091647855,-2.272666570577574,-2.2833048684499144,[-0.0074913],[-2.2907963],True,True,True
CNC1C2C(Cl)=I12F,-6,0.4185809741676942,0.41022018685472417,-4.596236811122232,-10.606875108994572,[-0.00669738],[-10.613573],False,False,True
***** Iteration 11 *****
***** Iteration 12 *****
CS1(F)(P)(C2(F)C3=NN32)N2OC21NF,-6,0.33681820275239915,0.36258136582092554,-5.479435175959534,-11.490073473831874,[-0.01412105],[-11.504194],False,False,True
CC1(Br)C(=NOO)N1F,-6,0.17157588724914274,0.5316748685511088,-3.37008773578061,-9.38072603365295,[-0.01236416],[-9.39309],False,False,True
***** Iteration 13 *****
***** Iteration 14 *****
CSC1=C2NC3(Cl)ON3N2C1=O,-3,0.37039624336203336,0.5441038209613139,-4.019878021911946,-7.030516319784287,[-0.01608429],[-7.0466003],False,True,True
***** Iteration 15 *****
CC1=I2(Cl)OC(=O)N2C1,-3,0.4902688936196014,0.4705901366163769,-3.6324640598897,-6.64310235776204,[-0.01331498],[-6.6564174],False,True,True
***** Iteration 16 *****
***** Iteration 17 *****
O=C1C(OO)=C2N3CC1I23(F)C1=C=C=N1,-6,0.1203444439911318,0.38134061098134125,-5.075601439662329,-11.086239737534669,[-0.01557712],[-11.101817],False,False,True
***** Iteration 18 *****
***** Iteration 19 *****
***** Iteration 20 *****
NC12OC34OC56ON5C36N(N4Br)[SH]13=NC23SO,-3,0.23088990807442075,0.199829685007391,-8.66976736343722,-11.68040566130956,[-0.01703706],[-11.697443],False,True,True
O=CON1N2C3=C2C12OC32,-3,0.3592600675088968,0.4113688464671587,-6.174896738111487,-9.185535035983827,[-0.01295476],[-9.19849],False,True,True
***** Iteration 21 *****
***** Iteration 22 *****
N=NNC1(C#CF)C23OC4=C=S5(S)=C=C6N7C42C13C675,-3,0.12743107601358042,0.17460619318953696,-11.499894331430339,-14.510532629302679,[-0.01663291],[-14.527165],False,True,True
***** Iteration 23 *****
FC1=C2CCC(=N2)C1=NCl,-3,0.5153899839992424,0.5550051398508555,-2.4837324074137253,-5.494370705286066,[-0.01457219],[-5.508943],False,True,True
CC1C2C3CC132,0,0.41080917396323874,0.5072955373699137,-3.513756837383417,-3.5243951352557574,[-0.0161335],[-3.5405288],True,True,True
***** Iteration 24 *****
***** Iteration 25 *****
***** Iteration 26 *****
NC1C(F)NN1C1=C=C2N=C2O1,-3,0.3953238924067287,0.43714791904708455,-5.748322245966786,-8.758960543839127,[-0.01696598],[-8.775927],False,True,False
***** Iteration 27 *****
***** Iteration 28 *****
NC=NC12N=C=C3ON3C1=C1C3=C(N)C132,-3,0.3194778540248218,0.3401688170923614,-6.947309599145624,-9.957947897017965,[-0.01838908],[-9.9763365],False,True,True
***** Iteration 29 *****
***** Iteration 30 *****
CC1=C2C(F)N3N2N3C23C1(Br)C14C(ON=O)=S15=C1OC12C345,-3,0.24036774847478148,0.3285904724755583,-9.322201046911957,-12.332839344784297,[-0.0171872],[-12.350026],False,True,True
***** Iteration 31 *****
***** Iteration 32 *****
***** Iteration 33 *****
N=C1C23ON2C24C(=O)N5C32CC2=NN=C(N)P1254,-3,0.3163580690200016,0.2644365749696326,-7.902122886319464,-10.912761184191805,[-0.01887549],[-10.931636],False,True,True
CC(O)(NO)C1=C=C1N=O,-3,0.22156824288324845,0.4868809717596757,-4.716737763330141,-7.727376061202481,[-0.01557779],[-7.742954],False,True,True
***** Iteration 34 *****
***** Iteration 35 *****
***** Iteration 36 *****
***** Iteration 37 *****
CC=C1C(=NPCl)C2=C3C4(ON)C1=NC(=O)C21C(=O)C341,-6,0.45960774210344807,0.3864886276881271,-8.76620301444894,-14.776841312321281,[-0.01868187],[-14.795523],False,False,False
C1NC23N=C4C2=C1N43,-3,0.438164047051986,0.3574666500064045,-6.549215997312842,-9.559854295185183,[-0.01697713],[-9.576832],False,True,True
***** Iteration 38 *****
***** Iteration 39 *****
***** Iteration 40 *****
