smile,reward_qed,reward_logp,reward_sa,reward_sum,qed_ratio,logp_ratio,sa_ratio
smile,reward_qed,reward_logp,reward_sa,reward_sum,qed_ratio,logp_ratio,sa_ratio
N#S(Cl)(C#[SH])C1OC=[SH](=S)C1=NO,0.26716587957706944,0.37956923076923077,-0.7127445891847544,-0.0660094788384542,1,5,-0.1
CSS12(=O)OC3(Cl)N=C3N1N2OO,0.1865681603754763,0.039076923076923065,-0.6454164798950163,-0.4197713964426169,1,5,-0.1
N#N,0.3515827913468266,0.0754,-0.4107167918949392,0.016265999451887392,1,5,-0.1
NON(SO)C12ON3OOC1(O3)O2,0.189731184176763,-0.5352692307692308,-0.782300417495436,-1.1278384640879038,1,5,-0.1
ClOC1N2N=C3ON=S314OC24Cl,0.3767476802620621,0.27266666666666667,-0.7979962315080289,-0.1485818845793001,1,5,-0.1
CC12N=C3OC1(O)C(=NON)C32Cl,0.4276018842271988,-0.3409615384615384,-0.6887110293455657,-0.6020706835799053,1,5,-0.1
CC12NC(SNO1)C13N4C5(Cl)C41C253,0.24832177002037617,-0.16523076923076932,-0.7601310402628912,-0.6770400394732844,1,5,-0.1
ClC1C2C3N1C1=C4OC4(Cl)C(C1)N23,0.3401095712978415,0.3230769230769231,-0.672857049512068,-0.009670555137303527,1,5,-0.1
NCC12S(=O)N3C(N)S1456N1N4C25C316,0.47552005296968414,-0.9539615384615384,-0.8168471546859165,-1.2952886401777708,1,5,-0.1
O=S1OC23C(=S4#S(Cl)(O4)N12)N3CCl,0.31263604500003334,0.4323076923076923,-0.7369868193536133,0.007956917954112352,1,5,-0.1
CCC12C(=C3C#CC31N)C1C2N1O,0.42958673271670467,-0.05265384615384612,-0.6344902063704853,-0.2575573198076267,1,5,-0.1
COCC12C34N5OC67C8=S61(C37O8)C542,0.4187560937272479,-0.3736538461538462,-0.834832080190712,-0.7897298326173103,1,5,-0.1
CNC1C=[SH](C)(N)C2=C3N[SH]2N3O1,0.2968529211758028,-0.3091153846153847,-0.790226457023977,-0.8024889204635588,1,5,-0.1
CNC12C(O)C34OC31N4C2(O)NCl,0.2261031222659427,-0.9766923076923075,-0.6822349607173669,-1.4328241461437319,1,5,-0.1
